Wall time,Step,Value
1662817368.69298,0,0.020937500521540642
1662817369.488859,1,0.012812499888241291
1662817370.24922,2,0.0009374999790452421
1662817370.990319,3,0.0024999999441206455
1662817371.76128,4,0.008124999701976776
1662817372.526084,5,0.0071875001303851604
1662817373.295288,6,0.0053125000558793545
1662817374.089783,7,0.004687500186264515
1662817374.859225,8,0.0018749999580904841
1662817375.611498,9,0.008437500335276127
1662817376.357288,10,0.005625000223517418
1662817377.125704,11,0.010625000111758709
1662817377.894496,12,0.006562499795109034
1662817378.649729,13,0.004687500186264515
1662817379.405572,14,0.012187499552965164
1662817380.142763,15,0.016875000670552254
1662817380.895644,16,0.0062500000931322575
1662817381.660519,17,0.006874999962747097
1662817382.446179,18,0.008750000037252903
1662817383.20839,19,0.0034374999813735485
1662817383.975508,20,0.009687500074505806
1662817384.722624,21,0.008437500335276127
1662817385.44126,22,0.013437500223517418
1662817386.154382,23,0.0024999999441206455
1662817386.913889,24,0.009999999776482582
1662817387.687543,25,0.0078125
1662817388.461192,26,0.006874999962747097
1662817389.238918,27,0.011562500149011612
1662817390.008456,28,0.0021875000093132257
1662817390.780007,29,0.004999999888241291
1662817391.565894,30,0.0034374999813735485
1662817392.336725,31,0.0021875000093132257
1662817393.11224,32,0.008437500335276127
1662817393.880306,33,0.0053125000558793545
1662817394.669206,34,0.0062500000931322575
1662817395.450346,35,0.011562500149011612
1662817396.226194,36,0.010625000111758709
1662817397.004232,37,0.008437500335276127
1662817397.777931,38,0.012500000186264515
1662817398.529925,39,0.009687500074505806
1662817399.279661,40,0.0062500000931322575
1662817400.071063,41,0.009062499739229679
1662817400.850832,42,0.007499999832361937
1662817401.618484,43,0.008437500335276127
1662817402.389532,44,0.002812500111758709
1662817403.150105,45,0.0078125
1662817403.927948,46,0.010625000111758709
1662817404.698727,47,0.008750000037252903
1662817405.473104,48,0.006874999962747097
1662817406.246837,49,0.002812500111758709
1662817407.020433,50,0.0034374999813735485
1662817407.804978,51,0.0053125000558793545
1662817408.581358,52,0.0003124999930150807
1662817409.336856,53,0.006562499795109034
1662817410.110054,54,0.0021875000093132257
1662817410.8764,55,0.004999999888241291
1662817411.650512,56,0.0009374999790452421
1662817412.46629,57,0.0021875000093132257
1662817413.234745,58,0.0012499999720603228
1662817413.999941,59,0.004062499850988388
1662817414.761775,60,0.0021875000093132257
1662817415.516714,61,0.0006249999860301614
1662817416.289974,62,0.0018749999580904841
1662817417.033157,63,0.0006249999860301614
1662817417.794044,64,0.004999999888241291
1662817418.591068,65,0.004687500186264515
1662817419.366622,66,0.0009374999790452421
1662817420.145021,67,0.0037499999161809683
1662817420.909404,68,0.0012499999720603228
1662817421.698246,69,0.0012499999720603228
1662817422.475896,70,0.0006249999860301614
1662817423.26486,71,0.0034374999813735485
1662817424.013849,72,0.0021875000093132257
1662817424.788506,73,0.0034374999813735485
1662817425.547988,74,0.0015625000232830644
1662817426.273529,75,0.0021875000093132257
1662817426.979435,76,0.0018749999580904841
1662817427.717512,77,0.0006249999860301614
1662817428.459982,78,0.0018749999580904841
1662817429.193232,79,0.0015625000232830644
